task_id,status,direct_blockers,incomplete_blockers,open_node,notes
SPEC_consumer-typecheck-materialize-residue,complete,,,no,Closed by 0125 consumer typecheck materialize residue.
SPEC_docs-materialize-frontdoor-drift,complete,,,no,Closed by 0126 public docs readings/optics contract.
SPEC_runtime-error-reading-basis-guidance,complete,SPEC_docs-materialize-frontdoor-drift,,no,Closed by 0127 runtime error readings/optics guidance.
BND_checkpoint-schema-contract-drift,incomplete,,,yes,Open node; checkpoint schema matrix is still contradictory.
PORT_patch-controller-reading-basis,incomplete,,,yes,Open node; patch controller still owns materialization seam work.
PORT_checkpoint-controller-reading-basis,incomplete,BND_checkpoint-schema-contract-drift,BND_checkpoint-schema-contract-drift,no,Wait for checkpoint schema matrix.
PORT_subscription-controller-reading-basis,incomplete,PORT_patch-controller-reading-basis,PORT_patch-controller-reading-basis,no,Wait for patch freshness/read-basis seam.
PORT_sync-controller-reading-basis,incomplete,,,yes,Open node; sync read-basis seam separate from sync security hardening.
SPEC_materialize-spy-test-clusters,incomplete,SPEC_consumer-typecheck-materialize-residue;SPEC_docs-materialize-frontdoor-drift;SPEC_runtime-error-reading-basis-guidance;PORT_patch-controller-reading-basis;PORT_checkpoint-controller-reading-basis;PORT_subscription-controller-reading-basis;PORT_sync-controller-reading-basis,PORT_patch-controller-reading-basis;PORT_checkpoint-controller-reading-basis;PORT_subscription-controller-reading-basis;PORT_sync-controller-reading-basis,no,Consumer typecheck docs and runtime guidance parents are complete; remaining controller parents still incomplete.
SPEC_observer-coordinate-pinning,incomplete,,,yes,Open node; observer state hash and pinned read expectations remain red.
SPEC_uniform-git-cas-upgrade-contract-drift,incomplete,,,yes,Open node; package upgrade command witness still stale/brittle.
HEX_sync-secret-plain-string,incomplete,,,yes,Open node; prerequisite for secure sync auth defaults.
HEX_sync-production-auth-defaults,incomplete,HEX_sync-secret-plain-string,HEX_sync-secret-plain-string,no,Wait for opaque sync secret shape.
HEX_sync-no-rate-limiting,incomplete,HEX_sync-production-auth-defaults,HEX_sync-production-auth-defaults,no,Wait for production auth/key identity.
HEX_sync-500-sanitization,incomplete,HEX_sync-production-auth-defaults,HEX_sync-production-auth-defaults,no,Wait for production sync response/auth shape.
REL_quarantine-graduate-clean,incomplete,BND_checkpoint-schema-contract-drift;PORT_patch-controller-reading-basis;PORT_checkpoint-controller-reading-basis;PORT_subscription-controller-reading-basis;PORT_sync-controller-reading-basis;SPEC_observer-coordinate-pinning;HEX_sync-secret-plain-string;HEX_sync-production-auth-defaults;HEX_sync-no-rate-limiting;HEX_sync-500-sanitization,BND_checkpoint-schema-contract-drift;PORT_patch-controller-reading-basis;PORT_checkpoint-controller-reading-basis;PORT_subscription-controller-reading-basis;PORT_sync-controller-reading-basis;SPEC_observer-coordinate-pinning;HEX_sync-secret-plain-string;HEX_sync-production-auth-defaults;HEX_sync-no-rate-limiting;HEX_sync-500-sanitization,no,Run near end of source churn.
REL_full-gate-matrix-green,incomplete,SPEC_consumer-typecheck-materialize-residue;SPEC_docs-materialize-frontdoor-drift;SPEC_runtime-error-reading-basis-guidance;BND_checkpoint-schema-contract-drift;PORT_patch-controller-reading-basis;PORT_checkpoint-controller-reading-basis;PORT_subscription-controller-reading-basis;PORT_sync-controller-reading-basis;SPEC_materialize-spy-test-clusters;SPEC_observer-coordinate-pinning;SPEC_uniform-git-cas-upgrade-contract-drift;HEX_sync-no-rate-limiting;HEX_sync-500-sanitization;REL_quarantine-graduate-clean,BND_checkpoint-schema-contract-drift;PORT_patch-controller-reading-basis;PORT_checkpoint-controller-reading-basis;PORT_subscription-controller-reading-basis;PORT_sync-controller-reading-basis;SPEC_materialize-spy-test-clusters;SPEC_observer-coordinate-pinning;SPEC_uniform-git-cas-upgrade-contract-drift;HEX_sync-no-rate-limiting;HEX_sync-500-sanitization;REL_quarantine-graduate-clean,no,Consumer typecheck docs and runtime guidance parents are complete; full release gate still blocked by remaining tasks.
REL_release-cut-version-changelog,incomplete,REL_full-gate-matrix-green,REL_full-gate-matrix-green,no,Wait for full gate matrix.
REL_release-preflight-and-rc,incomplete,REL_release-cut-version-changelog,REL_release-cut-version-changelog,no,Wait for release cut.
REL_push-pr-review-merge,incomplete,REL_release-preflight-and-rc,REL_release-preflight-and-rc,no,Wait for preflight and RC readiness.
