api	surface	label	provider	first_use_docs	notes	issue
openWarpWorldline()	worldline entry	transitional	runtime host product without memory budget	caveat	Preferred product entry, but large-graph safety waits for memory budget conformance.	https://github.com/git-stunts/git-warp/issues/549
worldline.commit()	write	transitional	PatchController with some full-state existence checks	caveat	Normal write shape, but existing-entity checks need targeted fact resolvers.	https://github.com/git-stunts/git-warp/issues/549
worldline.live().getNodeProps(id)	exact read	transitional	live observer over current full-state provider	caveat	Exact-read shape is good; current provider is not yet a bounded shard resolver.	https://github.com/git-stunts/git-warp/issues/549
worldline.live().hasNode(id)	exact read	transitional	live observer over current full-state provider	caveat	Exact-read shape is good; provider must move to targeted facts.	https://github.com/git-stunts/git-warp/issues/549
worldline.query().match(id).select(['id']).run()	exact id query	bounded	checkpoint-tail exact-id query provider	yes	Uses checkpoint-tail read identity when a bounded basis exists and falls back only when no basis exists.	https://github.com/git-stunts/git-warp/issues/384
worldline.live().getNodes()	full-result read	diagnostic	current visible-state enumeration	no	Enumerates all visible nodes and is not a first-use large-graph path.	https://github.com/git-stunts/git-warp/issues/549
worldline.live().getEdges()	full-result read	diagnostic	current visible-state enumeration	no	Enumerates all visible edges and is not a first-use large-graph path.	https://github.com/git-stunts/git-warp/issues/549
worldline.query().run()	query	transitional	QueryRunner consumes AsyncIterable but default provider can be full-state-backed	caveat	Streaming shape over a provider that still needs bounded source truth.	https://github.com/git-stunts/git-warp/issues/549
worldline.query().toArray()	result accumulation	legacy	unlimited array accumulation	no	Naked array collection must require a limit or diagnostic intent.	https://github.com/git-stunts/git-warp/issues/549
worldline.observer(config)	aperture read	transitional	observer snapshot path can clone full state	caveat	Useful aperture shape; provider source is not yet bounded.	https://github.com/git-stunts/git-warp/issues/549
worldline.prepareOpticBasis()	optic setup	transitional	checkpoint-tail basis verifier with bounded tree-entry probes	caveat	Verifies existing checkpoint-tail evidence through targeted probes or fails closed; broader memory-budgeted product gate remains open.	https://github.com/git-stunts/git-warp/issues/549
worldline.coordinate()	coordinate capture	transitional	prepared checkpoint-tail basis plus current frontier	caveat	Captures a stable coordinate only after basis verification; frontier capture is not memory-budgeted yet.	https://github.com/git-stunts/git-warp/issues/546
coordinate.optic().node(id).read()	optic read	transitional	checkpoint-tail shard facts plus tail witnesses	caveat	Rejects missing or unsupported basis instead of materializing; memory-budgeted basis/tail providers wait for gate 2.	https://github.com/git-stunts/git-warp/issues/547
coordinate.optic().node(id).prop(key).read()	optic read	transitional	checkpoint-tail shard facts plus tail witnesses	caveat	Rejects missing or unsupported basis instead of materializing; memory-budgeted basis/tail providers wait for gate 2.	https://github.com/git-stunts/git-warp/issues/547
worldline.optic()	live optic	transitional	live checkpoint-tail source without coordinate coherence	caveat	One-off convenience, not the coherent multi-read boundary.	https://github.com/git-stunts/git-warp/issues/547
graph.materialize()	full-state replay	diagnostic	full WarpState materialization	no	Compatibility and operator evidence only.	https://github.com/git-stunts/git-warp/issues/546
graph.materializeCoordinate()	full-state coordinate replay	diagnostic	full WarpState materialization	no	Compatibility and operator evidence only.	https://github.com/git-stunts/git-warp/issues/546
graph.materializeAt()	checkpoint replay	diagnostic	full checkpoint state load	no	Compatibility and operator evidence only.	https://github.com/git-stunts/git-warp/issues/546
graph.getStateSnapshot()	full snapshot	diagnostic	cached full-state snapshot	no	Full snapshot clone; not a first-use application path.	https://github.com/git-stunts/git-warp/issues/549
graph.getNodes()	full-result read	diagnostic	current visible-state enumeration	no	Full node array; not a first-use large-graph path.	https://github.com/git-stunts/git-warp/issues/549
graph.getEdges()	full-result read	diagnostic	current visible-state enumeration	no	Full edge array; not a first-use large-graph path.	https://github.com/git-stunts/git-warp/issues/549
graph.query().match(id).select(['id']).run()	exact id query	bounded	checkpoint-tail exact-id query provider	yes	Answers exact checkpoint and live-tail hits or misses without full materialization when checkpoint-tail evidence exists.	https://github.com/git-stunts/git-warp/issues/384
graph.getContentStream(id)	content bytes	transitional	full-state content-reference lookup then byte stream	caveat	Byte stream is streaming; OID lookup is not yet bounded.	https://github.com/git-stunts/git-warp/issues/549
graph.syncWith()	sync	transitional	SyncResponse patches array	caveat	Protocol still accumulates patch arrays until cursorized.	https://github.com/git-stunts/git-warp/issues/549
graph.syncWith({ materialize: true })	sync compatibility	legacy	sync response plus full materialization	no	Compatibility only; never a first-use sync path.	https://github.com/git-stunts/git-warp/issues/549
openWarpGraph()	compatibility entry	legacy	lower-level capability bag	no	Kept for diagnostics, migration, sync, and compatibility surfaces.	https://github.com/git-stunts/git-warp/issues/552
WarpApp.open()	compatibility entry	legacy	legacy facade	no	Kept for compatibility; new app docs start at Worldline.	https://github.com/git-stunts/git-warp/issues/552
WarpCore.open()	compatibility entry	legacy	core runtime facade	no	Kept for compatibility and diagnostics.	https://github.com/git-stunts/git-warp/issues/552
